"National
Dex","Pokemon
Name",Classification,HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,"Evolution
Method"
1,Bulbasaur,Starter,45,49,49,65,65,45,318,Grass,Poison,Overgrow,,Chlorophyll,Lv. 16
2,Ivysaur,Starter,60,62,63,80,80,60,405,Grass,Poison,Overgrow,,Chlorophyll,Lv. 32
3,Venusaur,Starter,80,82,83,100,100,80,525,Grass,Poison,Overgrow,,Chlorophyll,
3.1,Venusaur (Mega),"Starter, Mega Evolution",80,100,123,122,120,80,625,Grass,Poison,Thick Fat,,,
4,Charmander,Starter,39,52,43,60,50,65,309,Fire,,Blaze,,Solar Power,Lv. 16
5,Charmeleon,Starter,58,64,58,80,65,80,405,Fire,,Blaze,,Solar Power,Lv. 36
6,Charizard,Starter,78,84,78,109,85,100,534,Fire,Flying,Blaze,,Solar Power,
6.1,Charizard (Mega X),"Starter, Mega Evolution",78,130,111,130,85,100,634,Fire,Dragon,Tough Claws,,,
6.2,Charizard (Mega Y),"Starter, Mega Evolution",78,104,78,159,115,100,634,Fire,Flying,Drought,,,
7,Squirtle,Starter,44,48,65,60,54,43,314,Water,,Torrent,,Rain Dish,Lv. 16
8,Wartortle,Starter,59,63,80,65,80,58,405,Water,,Torrent,,Rain Dish,Lv. 36
9,Blastoise,Starter,79,83,100,85,105,78,530,Water,,Torrent,,Rain Dish,
9.1,Blastoise (Mega),"Starter, Mega Evolution",79,103,120,135,115,78,630,Water,,Mega Launcher,,,
10,Caterpie,,45,30,35,20,20,45,195,Bug,,Shield Dust,,Run Away,Lv. 7
11,Metapod,,50,20,55,25,25,30,205,Bug,,Shed Skin,,,Lv. 10
12,Butterfree,,60,45,50,90,80,70,395,Bug,Flying,Compoundeyes,,Tinted Lens,
13,Weedle,,40,35,30,20,20,50,195,Bug,Poison,Shield Dust,,Run Away,Lv. 7
14,Kakuna,,45,25,50,25,25,35,205,Bug,Poison,Shed Skin,,,Lv. 10
15,Beedrill,,65,90,40,40,80,75,390,Bug,Poison,Swarm,,Sniper,Lv. 10
15.1,Beedrill (Mega),Mega Evolution,65,150,40,15,80,145,495,Bug,Poison,Adaptability,,,
16,Pidgey,,40,45,40,35,35,56,251,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Lv. 18
17,Pidgeotto,,63,60,55,50,50,71,349,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Lv. 36
18,Pidgeot,,83,80,75,70,70,91,469,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Lv. 36
18.1,Pidgeot (Mega),Mega Evolution,83,80,80,135,80,121,579,Normal,Flying,No Guard,,,
19,Rattata,,30,56,35,25,35,72,253,Normal,,Run Away,Guts,Hustle,Lv. 20
19.1,Rattata (Alolan),Alolan Form,30,56,35,25,35,72,253,Dark,Normal,Gluttony,Hustle,Thick Fat,Lv. 20 (Night)
20,Raticate,,55,81,60,50,70,97,413,Normal,,Run Away,Guts,Hustle,
20.1,Raticate (Alolan),Alolan Form,75,71,70,40,80,77,413,Dark,Normal,Gluttony,Hustle,Thick Fat,
21,Spearow,,40,60,30,31,31,70,262,Normal,Flying,Keen Eye,,Sniper,Lv. 20
22,Fearow,,65,90,65,61,61,100,442,Normal,Flying,Keen Eye,,Sniper,
23,Ekans,,30,60,44,40,54,55,283,Poison,,Intimidate,Shed Skin,Unnerve,Lv. 22
24,Arbok,,60,95,69,65,79,80,448,Poison,,Intimidate,Shed Skin,Unnerve,
25,Pikachu,,35,55,40,50,50,90,320,Electric,,Static,,Lightningrod,Thunder Stone
26,Raichu,,60,90,55,90,80,110,485,Electric,,Static,,Lightningrod,
26.1,Raichu (Alolan),Alolan Form,60,85,50,95,85,110,485,Electric,Psychic,Surge Surfer,,,
27,Sandshrew,,50,75,85,20,30,40,300,Ground,,Sand Veil,,Sand Rush,Lv. 22
27.1,Sandshrew (Alolan),Alolan Form,50,75,90,10,35,40,300,Ice,Steel,Snow Cloak,,Slush Rush,Ice Stone
28,Sandslash,,75,100,110,45,55,65,450,Ground,,Sand Veil,,Sand Rush,
28.1,Sandslash (Alolan),Alolan Form,75,100,120,25,65,65,450,Ice,Steel,Snow Cloak,,Slush Rush,
29,Nidoran (Female),,55,47,52,40,40,41,275,Poison,,Poison Point,Rivalry,Hustle,Lv. 16
30,Nidorina,,70,62,67,55,55,56,365,Poison,,Poison Point,Rivalry,Hustle,Moon Stone
31,Nidoqueen,,90,92,87,75,85,76,505,Poison,Ground,Poison Point,Rivalry,Sheer Force,
32,Nidoran (Male),,46,57,40,40,40,50,273,Poison,,Poison Point,Rivalry,Hustle,Lv. 16
33,Nidorino,,61,72,57,55,55,65,365,Poison,,Poison Point,Rivalry,Hustle,Moon Stone
34,Nidoking,,81,102,77,85,75,85,505,Poison,Ground,Poison Point,Rivalry,Sheer Force,
35,Clefairy,,70,45,48,60,65,35,323,Fairy,,Cute Charm,Magic Guard,Friend Guard,Moon Stone
36,Clefable,,95,70,73,95,90,60,483,Fairy,,Cute Charm,Magic Guard,Unaware,
37,Vulpix,,38,41,40,50,65,65,299,Fire,,Flash Fire,,Drought,Fire Stone
37.1,Vulpix (Alolan),Alolan Form,38,41,40,50,65,65,299,Ice,,Snow Cloak,,Snow Warning,Ice Stone
38,Ninetales,,73,76,75,81,100,100,505,Fire,,Flash Fire,,Drought,
38.1,Ninetales (Alolan),Alolan Form,73,67,75,81,100,109,505,Ice,Fairy,Snow Cloak,,Snow Warning,
39,Jigglypuff,,115,45,20,45,25,20,270,Normal,Fairy,Cute Charm,Competitive,Friend Guard,Moon Stone
40,Wigglytuff,,140,70,45,85,50,45,435,Normal,Fairy,Cute Charm,Competitive,Frisk,
41,Zubat,,40,45,35,30,40,55,245,Poison,Flying,Inner Focus,,Infiltrator,Lv. 22
42,Golbat,,75,80,70,65,75,90,455,Poison,Flying,Inner Focus,,Infiltrator,Friendship
43,Oddish,,45,50,55,75,65,30,320,Grass,Poison,Chlorophyll,,Run Away,Lv. 22
44,Gloom,,60,65,70,85,75,40,395,Grass,Poison,Chlorophyll,,Stench,Leaf Stone/Sun Stone
45,Vileplume,,75,80,85,110,90,50,490,Grass,Poison,Chlorophyll,,Effect Spore,
46,Paras,,35,70,55,45,55,25,285,Bug,Grass,Effect Spore,Dry Skin,Damp,Lv. 24
47,Parasect,,60,95,80,60,80,30,405,Bug,Grass,Effect Spore,Dry Skin,Damp,
48,Venonat,,60,55,50,40,55,45,305,Bug,Poison,Compoundeyes,Tinted Lens,Run Away,Lv. 31
49,Venomoth,,70,65,60,90,75,90,450,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,
50,Diglett,,10,55,25,35,45,95,265,Ground,,Sand Veil,Arena Trap,Sand Force,Lv. 26
50.1,Diglett (Alolan),Alolan Form,10,55,30,35,45,90,265,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,Lv. 26
51,Dugtrio,,35,100,50,50,70,120,425,Ground,,Sand Veil,Arena Trap,Sand Force,
51.1,Dugtrio (Alolan),Alolan Form,35,100,60,50,70,110,425,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,
52,Meowth,,40,45,35,40,40,90,290,Normal,,Pickup,Technician,Unnerve,Lv. 28
52.1,Meowth (Alolan),Alolan Form,40,35,35,50,40,90,290,Dark,,Pickup,Technician,Rattled,Friendship
52.2,Meowth (Galarian),Galarian Form,50,65,55,40,40,40,290,Steel,,Pickup,Tough Claws,Unnerve,Lv. 28
53,Persian,,65,70,60,65,65,115,440,Normal,,Limber,Technician,Unnerve,
53.1,Persian (Alolan),Alolan Form,65,60,60,75,65,115,440,Dark,,Fur Coat,Technician,Rattled,
54,Psyduck,,50,52,48,65,50,55,320,Water,,Damp,Cloud Nine,Swift Swim,Lv. 33
55,Golduck,,80,82,78,95,80,85,500,Water,,Damp,Cloud Nine,Swift Swim,
56,Mankey,,40,80,35,35,45,70,305,Fighting,,Vital Spirit,Anger Point,Defiant,Lv. 28
57,Primeape,,65,105,60,60,70,95,455,Fighting,,Vital Spirit,Anger Point,Defiant,Level Up (After Using Rage Fist 20 Times)
58,Growlithe,,55,70,45,70,50,60,350,Fire,,Intimidate,Flash Fire,Justified,Fire Stone
58.1,Growlithe (Hisuian),Hisuian Form,60,75,45,65,50,55,350,Fire,Rock,Intimidate,Flash Fire,Rock Head,Fire Stone
59,Arcanine,,90,110,80,100,80,95,555,Fire,,Intimidate,Flash Fire,Justified,
59.1,Arcanine (Hisuian),Hisuian Form,95,115,80,95,80,90,555,Fire,Rock,Intimidate,Flash Fire,Rock Head,
60,Poliwag,,40,50,40,40,40,90,300,Water,,Water Absorb,Damp,Swift Swim,Lv. 25
61,Poliwhirl,,65,65,65,50,50,90,385,Water,,Water Absorb,Damp,Swift Swim,Water Stone/Trade (Holding King's Rock)
62,Poliwrath,,90,95,95,70,90,70,510,Water,Fighting,Water Absorb,Damp,Swift Swim,
63,Abra,,25,20,15,105,55,90,310,Psychic,,Synchronize,Inner Focus,Magic Guard,Lv. 16
